Designator,Mid X,Mid Y,Rotation,Layer
C1,157.75,-88.925,270.0,top
C2,153.85,-84.725,180.0,top
C3,153.8,-79.625,180.0,top
C4,138.7,-76.9,180.0,top
C5,138.7,-93.3,180.0,top
D1,154.75,-89.75,270.0,top
D2,154.1,-101.2625,90.0,top
H1,114.0,-72.6,0.0,top
H2,156.0,-72.6,0.0,top
H3,156.0,-112.8,0.0,top
H4,114.0,-112.8,0.0,top
J1,147.5,-91.46,0.0,top
J2,134.85,-71.35,270.0,bottom
J3,134.85,-112.65,270.0,bottom
J4,122.1,-65.9,90.0,top
J5,112.54,-65.9,270.0,bottom
J6,161.0,-104.61,0.0,top
J7,147.5,-106.8,0.0,top
J8,114.485,-84.38,270.0,top
J9,114.485,-100.965,270.0,top
R1,153.825,-82.975,180.0,top
R10,126.5,-88.25,180.0,top
R11,126.5,-89.75,180.0,top
R12,126.5,-95.8,180.0,top
R13,126.5,-97.3,180.0,top
R14,126.5,-98.8,180.0,top
R15,126.5,-100.3,180.0,top
R16,126.5,-101.8,180.0,top
R17,126.5,-103.3,180.0,top
R18,126.5,-104.8,180.0,top
R19,126.5,-106.3,180.0,top
R2,153.825,-81.375,180.0,top
R3,156.095,-101.205,270.0,top
R4,126.5,-79.25,180.0,top
R5,126.5,-80.75,180.0,top
R6,126.5,-82.25,180.0,top
R7,126.5,-83.75,180.0,top
R8,126.5,-85.25,180.0,top
R9,126.5,-86.75,180.0,top
SYM1,104.214401,-67.207171,0.0,top
U1,159.9,-82.025,90.0,top
U2,134.8,-84.5,270.0,top
U3,134.8,-100.9,270.0,top
